Metabolites	SC-M1	SC-M2	SC-M3	SC-M4	SC-M5	SC-M6	NBH-M1	NBH-M2	NBH-M3	NBH-M4	NBH-M5	SC-F1	SC-F2	SC-F3	SC-F4	SC-F5	SC-F6	NBH-F1	NBH-F2	NBH-F3	NBH-F4	NBH-F5	NBH-F6
Acetate	4.074729597	5.891523755	6.499963173	7.932864085	7.122352516	6.088637305	7.917309472	9.678635224	5.708532107	8.650397865	6.27838675	7.810897369	8.415668714	5.919560471	6.704528168	8.772664098	9.747074737	8.312108894	10.9817692	10.84238218	10.45113423	8.731693838	10.83745226
Betaine	0.763028515	0.808238287	1.075348015	0.88252108	0.811646179	0.662708822	0.799136069	0.932465872	1.168413004	1.174879554	0.990226131	0.736817868	0.888400468	0.722687892	0.627757213	1.016330785	0.668165966	0.753959553	1.161672038	0.774069222	0.967934505	1.206594824	1.228656482
Choline	0.475909538	0.754902765	0.629741475	0.358189224	0.516716608	0.461529358	0.521443999	0.688287639	0.549207956	1.143485033	0.592209793	0.770309589	0.654232484	0.42966824	0.512144415	0.550413797	0.629053812	0.924317304	0.625330704	0.858513138	1.047529706	1.082251082	0.700685239
Citrate	1.006882989	0.873882005	0.869116889	0.402851222	0.366499147	0.593676653	1.092255477	1.391324298	0.634281345	0.938213169	0.718997256	0.451091621	0.555635437	0.611396774	0.660209929	0.525933413	0.900394381	1.130095974	1.113569676	1.033896654	1.37443857	0.98093396	1.310098854
Creatine	8.01179941	9.813735948	9.379833542	9.758646563	10.68038286	10.72365437	12.32952792	13.1053244	13.09699443	12.99733147	12.54393426	11.23856572	10.11030545	9.803479608	10.06338421	9.111441026	13.63547472	12.91682831	11.75621723	13.11478959	13.01950082	12.17647601	12.45225792
Glutamine	5.305801377	2.752933454	3.01613022	2.167893383	1.481726164	2.485158084	3.609996915	2.774454696	1.97176425	2.006834346	2.014155258	1.519686852	1.944210505	1.715855462	1.420820445	1.960799798	2.253023044	4.265690624	1.772572033	2.653487642	2.63090568	4.573086488	3.497809481
Glycine	3.775811209	3.979650447	3.119245783	2.00711019	2.53560783	2.041379854	3.597655045	2.890808082	2.391746804	2.77117017	2.404147073	2.632239968	1.934967032	1.587659365	2.680391461	2.237191231	2.975783058	2.248384975	3.273365722	2.966363174	3.627267042	3.960578429	3.417771287
Histidine	3.984267453	4.631984902	5.619798188	4.487637559	3.804984703	4.370722471	4.949089787	5.421084545	4.195518032	3.557240663	4.880514853	2.569442991	4.746009901	2.58505318	2.869022869	3.789721397	5.748671816	5.515543036	6.236471211	5.824464918	5.703848997	7.432992539	6.697933049
Inosine	0.641101278	1.021580373	0.482433527	0.460018579	0.46009013	0.276128676	0.589324283	0.658789597	1.3924037	0.845237089	0.491100804	0.597617901	0.496066389	0.646615482	0.507073678	0.268494535	0.603793879	0.775886788	0.889893694	0.868256666	0.64528967	0.934880722	0.595371827
Isoleucine	0.546705998	0.586690736	0.405096855	0.282263827	0.230438305	0.252460504	0.444307313	0.35233772	0.277834613	0.476955215	0.404435956	0.307705189	0.345089662	0.257800944	0.304244207	0.286657401	0.317786252	0.372763	0.404059839	0.42330219	0.51736881	0.727641153	0.306110986
Lactate	9.706981318	9.030114056	11.03704795	11.13334286	11.54786904	12.98988186	5.057081148	4.739352026	8.422265537	6.257169422	6.952446677	7.914512381	8.446480291	12.60548003	12.36245626	9.978520437	6.336983801	5.712888154	5.118091298	5.430393314	5.881516857	4.038868932	4.444226017
O-Phosphoethanolamine	1.824975418	2.387790268	1.447300582	2.482313849	1.580036021	1.771168222	3.656278926	1.937038069	1.35363608	1.968194936	2.018969972	2.324534779	2.084916706	0.929773896	1.522235181	2.07530482	2.952967635	2.093207617	3.268555486	3.089781204	2.006936153	3.978999724	3.430408897
myo-Inositol	10.68239921	14.060064	12.40332916	8.521509218	10.00951639	11.4573677	5.109534094	4.426345029	3.060488257	6.381540022	13.86156093	16.40571034	13.82412752	7.517081073	12.73464834	9.846642239	3.802027313	4.08521261	4.562509019	5.003843281	4.501392916	4.384268214	6.411480566
sn-Glycero-3-phosphocholine	1.117010816	0.960039386	0.95013626	1.300557382	0.96186364	1.03942723	0.333230484	0.570295472	0.654742034	0.493859956	0.983806513	0.912649404	0.981862252	0.80862154	1.338674509	1.166371849	0.411492455	0.479025756	0.363172832	0.374584547	0.511683439	0.299346044	0.290665019
