Metabolite	SC-M1	SC-M2	SC-M3	SC-M4	SC-M5	SC-M6	NBH-M1	NBH-M2	NBH-M3	NBH-M4	NBH-M5	NBH-M6	SC-F1	SC-F2	SC-F3	SC-F4	SC-F5	SC-F6	NBH-F1	NBH-F2	NBH-F3	NBH-F4	NBH-F5	NBH-F6
Alanine	0.475406474	1.777112256	0.405888411	0.446764255	0.769547083	0.756424864	1.309014408	2.7291658	0.842182198	1.661808507	1.743613961	4.323189414	0.245989612	0.296560175	0.807100184	0.441380005	0.146786696	0.414680764	0.528483816	1.031512681	0.577531721	3.681855885	1.88682963	0.163392311
Aspartate	0.251003369	0.742620746	0.533511036	0.774635509	0.805327551	0.397633763	1.71461841	1.63391689	0.74483514	1.172128435	0.759330098	1.917649155	0.515220281	0.801304683	1.31261489	0.700738989	0.368990115	0.643069702	0.652099129	1.559988973	1.22008357	1.811293672	1.780756013	1.339686755
Choline	0.112142962	0.111164691	0.136911613	0.105709794	0.098796815	0.090345153	0.427031321	0.182967984	0.207083742	0.392454552	0.180298911	0.212401488	0.108110084	0.146685678	0.17041973	0.18839595	0.097122024	0.090968476	0.090096788	0.203607857	0.275379364	0.379877521	0.540055927	0.214818576
Creatine	1.765812216	1.921271034	2.196643848	2.20745486	1.83922287	1.915662512	4.832834445	5.218745902	2.145487521	4.056173914	2.321854797	5.461649891	1.915167531	1.880492171	1.409313725	3.320835116	1.512013332	1.712433165	1.848307251	2.833047762	3.135308798	5.216808146	3.876448865	3.612206903
Glucose	32.74433866	26.88358163	37.41968054	29.05725418	36.43946959	32.7849325	35.29339194	25.99520829	27.76317283	21.8753681	26.3024003	22.73500687	42.09164288	32.89995763	26.98184743	32.28834814	28.01896823	36.41448721	36.39456597	26.17739323	29.23515294	21.74037732	23.65425255	29.02198961
Glutamate	3.844734144	3.517169615	3.648957008	3.533587883	2.652560974	2.901690663	3.62229913	5.106150219	5.447166576	6.549260619	6.886331663	6.379517484	2.818696255	4.310372317	3.911037071	2.875261079	2.790050879	2.884861975	2.502674552	6.576879472	4.993163325	5.776550247	5.015508751	5.784478381
Glutathione	0.377325326	0.371056572	0.371155671	0.421374374	0.32255825	0.533726939	0.246305952	0.26389613	0.192091254	0.299529391	0.158267866	0.30193202	0.207080427	0.495633596	0.467218137	0.386857579	0.312703487	0.408874265	0.3782805	0.314231542	0.279204077	0.320608981	0.414278231	0.576104363
Lactate	6.445818075	3.788228725	5.014438319	5.195648565	4.171361741	5.804819943	2.896367528	2.833124882	2.776213168	3.686342993	2.661903482	3.363215166	4.595723123	6.62818825	6.202129289	4.322705654	4.999209044	4.210195244	4.066326357	1.67991994	2.524788924	3.269329192	3.094525386	3.702691091
Lysine	0.382832869	0.625364838	0.561378001	0.431139713	0.617880621	0.401949614	1.942960043	1.642233617	0.657899532	0.941778741	0.758440953	1.707978133	0.83746145	1.19671825	0.979434743	0.497747804	0.495175169	0.63290833	0.666338202	1.053406952	1.019764206	1.291701228	1.38897327	1.198427268
Maltose	32.98420976	39.6553387	24.25960704	33.70287003	30.14477739	33.85353727	9.674975705	12.21119367	29.49792864	10.9346925	31.19042726	10.03288056	23.3024236	23.969442	31.97189032	21.65630741	40.73459567	30.0568553	26.6870466	22.90637141	18.85774935	9.047938396	7.067360031	17.65222825
